variable,mean,sd,2.5%,97.5%,n_eff,Rhat,true_value,error,rel_error
alpha,0.10973409940377302,0.03658962840209625,0.05671798489829367,0.19441993983713474,473.7736771841209,1.0013063044023134,0.08,0.029734099403773015,0.3716762425471627
eta,0.004802985232954789,5.880912751712772e-4,0.0037654817506127224,0.0060641932133278925,706.3868594974258,0.9983583256162385,0.005,-1.970147670452109e-4,-0.03940295340904218
tau_e,0.6748858482318353,0.16766375897349242,0.4108064906536999,1.063645636943901,748.5049615344398,0.9986742845949883,0.6,0.0748858482318353,0.12480974705305885
beta0_vigor,-3.933381326056195,0.07822215833356,-4.088846181200898,-3.7931329298114966,517.2455909878666,1.0013647547745774,-4,0.06661867394380483,-0.016654668485951207
beta_t_vigor,0.02626532535196709,0.01742864051076242,-0.005166610320926635,0.05883286233344837,802.261513650375,0.9989350525951073,0.03,-0.003734674648032909,-0.1244891549344303
beta_q_vigor,0.4616154908327841,0.1442365214463449,0.24565463419898495,0.8045628555455203,471.64476521735617,1.000578803778303,0.6,-0.1383845091672159,-0.2306408486120265
kappa,7.041795707143123,2.2416522917071298,3.7111440949032564,12.297424344556234,618.1212558554345,1.00109655966386,9,-1.9582042928568768,-0.2175782547618752
omega_sticky,0.261843503904396,0.2958717043716871,-0.32375654235526224,0.8551897832488271,939.5657805032934,1.0000590536019505,0,0.261843503904396,NA
